"","x"
"1","cg16619049"
"2","cg01782097"
"3","cg08132177"
"4","cg27050229"
"5","cg01980454"
"6","cg03725447"
"7","cg03180780"
"8","cg00145911"
"9","cg10146935"
"10","cg13904806"
"11","cg23440882"
"12","cg15896339"
"13","cg24045482"
"14","cg17153432"
"15","cg10207527"
"16","cg26866020"
"17","cg17505193"
"18","cg13802035"
"19","cg04865998"
"20","cg25107893"
"21","cg08843537"
"22","cg22348654"
"23","cg22699004"
"24","cg10201533"
"25","cg11235921"
"26","cg26224305"
"27","cg15578015"
"28","cg17907238"
"29","cg15825501"
"30","cg16034521"
"31","cg09364122"
"32","cg01922485"
"33","cg03125763"
"34","cg26155520"
"35","cg23691733"
"36","cg24004483"
"37","cg22367159"
"38","cg26560020"
"39","cg15153791"
"40","cg10046671"
"41","cg18272461"
"42","cg25774148"
"43","cg16657578"
"44","cg02635644"
"45","cg02494066"
"46","cg10720997"
"47","cg08709360"
"48","cg27222785"
"49","cg09864227"
"50","cg23657003"
"51","cg22044028"
"52","cg15576492"
"53","cg11200797"
"54","cg18024260"
"55","cg19856606"
"56","cg09358422"
"57","cg24523322"
"58","cg16060740"
"59","cg10782633"
"60","cg05007472"
"61","cg14981312"
"62","cg08881995"
"63","cg15030799"
"64","cg10126324"
"65","cg19626656"
"66","cg27582017"
"67","cg08899471"
"68","cg20619296"
"69","cg18329352"
"70","cg25973293"
"71","cg23622235"
"72","cg18272703"
"73","cg06615380"
"74","cg12097325"
"75","cg19708306"
"76","cg23259694"
"77","cg25340711"
"78","cg03228985"
"79","cg05929553"
"80","cg20256117"
"81","cg14288281"
"82","cg07213830"
"83","cg07718444"
"84","cg21778193"
"85","cg18792131"
"86","cg14166948"
"87","cg21475076"
"88","cg03003746"
"89","cg23651812"
"90","cg18348086"
"91","cg10056813"
"92","cg18770446"
"93","cg08844387"
"94","cg07841371"
"95","cg24884961"
"96","cg03340606"
"97","cg06910084"
"98","cg05952202"
"99","cg19237691"
"100","cg06097659"
"101","cg19092396"
"102","cg16266669"
"103","cg02296931"
"104","cg15993652"
"105","cg12219387"
"106","cg09276842"
"107","cg07548512"
"108","cg23082845"
"109","cg20300707"
"110","cg23963070"
"111","cg10208113"
"112","cg08643618"
"113","cg24701867"
"114","cg17469240"
"115","cg19081571"
"116","cg02859098"
"117","cg16045223"
"118","cg02581421"
"119","cg07812848"
"120","cg24576260"
"121","cg20674014"
"122","cg15683497"
"123","cg03003335"
"124","cg14529643"
"125","cg00086266"
"126","cg06984883"
"127","cg08663263"
"128","cg06038049"
"129","cg07346648"
"130","cg26814650"
"131","cg08160862"
"132","cg26351554"
"133","cg16575694"
"134","cg06646682"
"135","cg22376366"
"136","cg03465880"
"137","cg15386434"
"138","cg13393580"
"139","cg15492552"
"140","cg19871494"
"141","cg15604233"
"142","cg15130241"
"143","cg14795268"
"144","cg00305774"
"145","cg09368716"
"146","cg26863172"
"147","cg04897188"
"148","cg27391934"
"149","cg03538326"
"150","cg00599812"
"151","cg01521567"
"152","cg13388025"
"153","cg13487474"
"154","cg10228629"
"155","cg06377929"
"156","cg10240778"
"157","cg22225258"
"158","cg06128920"
"159","cg21124756"
"160","cg14651254"
"161","cg26536460"
"162","cg17590292"
"163","cg23590525"
"164","cg07835437"
"165","cg03041030"
"166","cg06205922"
"167","cg12632610"
"168","cg00813378"
"169","cg08738570"
"170","cg16601494"
"171","cg15487867"
"172","cg26602477"
"173","cg08464374"
"174","cg03392564"
"175","cg00355315"
"176","cg22373622"
"177","cg09073059"
"178","cg16277776"
"179","cg18368516"
"180","cg12062537"
"181","cg06199750"
"182","cg09126090"
"183","cg11521998"
"184","cg25880288"
