"","x"
"1","cg24373735"
"2","cg18865112"
"3","cg22226438"
"4","cg06091566"
"5","cg09166659"
"6","cg15742605"
"7","cg11733071"
"8","cg24076968"
"9","cg16417258"
"10","cg13468764"
"11","cg21472517"
"12","cg15840462"
"13","cg06819605"
"14","cg10983617"
"15","cg05719911"
"16","cg21607076"
"17","cg12647165"
"18","cg24475622"
"19","cg24488772"
"20","cg11144217"
"21","cg06181703"
"22","cg24638131"
"23","cg11750929"
"24","cg16254267"
"25","cg21862126"
"26","cg04311266"
"27","cg16366262"
"28","cg20996124"
"29","cg00656410"
"30","cg19236794"
"31","cg19869091"
"32","cg04296903"
"33","cg16717690"
"34","cg07181952"
"35","cg23931819"
"36","cg16527939"
"37","cg21197375"
"38","cg20236831"
"39","cg21647460"
"40","cg06802641"
"41","cg10065209"
"42","cg24399111"
"43","cg11222665"
"44","cg00060374"
"45","cg09668627"
"46","cg19517490"
"47","cg13893866"
"48","cg27047577"
"49","cg13575252"
"50","cg10987926"
"51","cg26221637"
"52","cg10705488"
"53","cg11140595"
"54","cg19165249"
"55","cg06943420"
"56","cg21149807"
"57","cg26562592"
"58","cg20255817"
"59","cg10065215"
"60","cg05152432"
"61","cg06196161"
"62","cg01826337"
"63","cg08169659"
"64","cg17722231"
"65","cg22380385"
"66","cg15546282"
"67","cg15825127"
"68","cg19091116"
"69","cg25384089"
"70","cg18120323"
"71","cg08484080"
"72","cg08732456"
"73","cg08659047"
"74","cg02587648"
"75","cg05753589"
"76","cg00866690"
"77","cg07093776"
"78","cg27449973"
"79","cg09579361"
"80","cg27528222"
"81","cg15564619"
"82","cg26566407"
"83","cg09556700"
"84","cg03532930"
"85","cg22349332"
"86","cg18155888"
"87","cg08662116"
"88","cg15839450"
"89","cg21145284"
"90","cg11333375"
"91","cg21822905"
"92","cg19676238"
"93","cg11709150"
"94","cg27442054"
"95","cg09828310"
"96","cg06536150"
"97","cg19516647"
"98","cg08716217"
"99","cg01051642"
"100","cg25219318"
"101","cg23634547"
"102","cg23984035"
"103","cg15030449"
"104","cg14839809"
"105","cg07972116"
"106","cg21409829"
"107","cg04080530"
"108","cg20141398"
"109","cg00829990"
"110","cg04204526"
"111","cg26938364"
"112","cg25152368"
"113","cg01772149"
"114","cg12394168"
"115","cg13104257"
"116","cg17455155"
"117","cg24300981"
"118","cg22396632"
"119","cg01413848"
"120","cg06748955"
"121","cg14018153"
"122","cg25372239"
"123","cg15727188"
"124","cg11710123"
"125","cg00030466"
"126","cg04876124"
"127","cg27229529"
"128","cg10201191"
"129","cg13434489"
"130","cg17940849"
"131","cg11250802"
"132","cg03254465"
"133","cg15385853"
"134","cg14171460"
"135","cg06313241"
"136","cg02328660"
"137","cg12097441"
"138","cg27450668"
"139","cg15925527"
"140","cg04361279"
"141","cg05399785"
"142","cg04865841"
"143","cg18021902"
"144","cg16823083"
"145","cg14781922"
"146","cg06939447"
"147","cg26055950"
"148","cg17967071"
"149","cg00505606"
"150","cg06996273"
"151","cg01793449"
"152","cg15472784"
"153","cg26785743"
"154","cg13560072"
"155","cg22016671"
"156","cg11835068"
"157","cg11380667"
"158","cg13480658"
"159","cg06966242"
"160","cg19760464"
"161","cg25552937"
"162","cg12468708"
"163","cg02275243"
"164","cg19762508"
"165","cg03530437"
"166","cg17750254"
"167","cg01074955"
"168","cg22356839"
"169","cg10224655"
"170","cg18192083"
"171","cg24730892"
"172","cg24152353"
"173","cg05813032"
"174","cg14258756"
"175","cg12135344"
"176","cg27312709"
"177","cg17831269"
"178","cg10778407"
"179","cg11699125"
"180","cg11714702"
"181","cg15718222"
"182","cg12406391"
"183","cg23114616"
"184","cg22792644"
"185","cg09143576"
"186","cg04497520"
"187","cg07793638"
"188","cg27300967"
"189","cg13898470"
"190","cg03753670"
"191","cg24326501"
"192","cg06816875"
"193","cg03051946"
"194","cg20434152"
"195","cg16005818"
"196","cg07344096"
"197","cg22127730"
"198","cg18328710"
"199","cg09272923"
"200","cg17875988"
"201","cg00425885"
"202","cg14204433"
"203","cg04725166"
"204","cg04112961"
"205","cg09216375"
"206","cg14038482"
"207","cg11388228"
"208","cg09684870"
"209","cg10780495"
"210","cg17952939"
"211","cg06374766"
"212","cg02924110"
"213","cg25017777"
"214","cg02447606"
"215","cg26363759"
"216","cg06773963"
"217","cg20982311"
"218","cg25369015"
"219","cg26824326"
"220","cg25593631"
"221","cg19309580"
"222","cg04163216"
"223","cg07499142"
"224","cg00298532"
"225","cg17423089"
"226","cg05659773"
"227","cg12657380"
"228","cg20743218"
"229","cg04570362"
"230","cg01800926"
"231","cg17972631"
"232","cg20413202"
"233","cg19368966"
"234","cg22728639"
"235","cg17075937"
"236","cg10971874"
"237","cg10801633"
"238","cg24502224"
"239","cg16245035"
"240","cg16100063"
"241","cg16057915"
"242","cg15597109"
"243","cg09754110"
"244","cg02486355"
"245","cg22853713"
"246","cg24073777"
"247","cg26522708"
"248","cg04842880"
"249","cg12275723"
"250","cg09510180"
"251","cg04117764"
"252","cg08006333"
"253","cg18380490"
"254","cg13686362"
"255","cg18435880"
"256","cg24726995"
"257","cg11539038"
"258","cg07190630"
"259","cg21474053"
"260","cg24597705"
"261","cg11857246"
"262","cg16020346"
"263","cg14565440"
"264","cg08269394"
"265","cg00542299"
"266","cg05396397"
"267","cg05132283"
"268","cg17243540"
"269","cg15059389"
"270","cg07499259"
"271","cg13471521"
"272","cg20931951"
"273","cg02933679"
"274","cg00922376"
"275","cg16680547"
"276","cg21584052"
"277","cg21581845"
"278","cg10515414"
"279","cg00970752"
"280","cg24458329"
"281","cg04725029"
"282","cg25154447"
"283","cg18192808"
"284","cg09073052"
"285","cg27187669"
"286","cg26036626"
"287","cg09826002"
"288","cg15135704"
"289","cg03973866"
"290","cg20703523"
"291","cg15558527"
"292","cg18279134"
"293","cg17944189"
"294","cg25851313"
"295","cg06882340"
"296","cg15483964"
"297","cg03735492"
"298","cg20387712"
"299","cg27555392"
"300","cg13491192"
"301","cg01059331"
"302","cg01943843"
"303","cg07798137"
"304","cg27222219"
"305","cg13879177"
"306","cg14374781"
"307","cg24559601"
"308","cg24539455"
"309","cg21524424"
"310","cg08714895"
"311","cg11663302"
"312","cg17479716"
"313","cg25197238"
"314","cg21291759"
"315","cg08005774"
"316","cg13426876"
"317","cg05052324"
"318","cg17172851"
"319","cg26661034"
"320","cg16405019"
"321","cg15213210"
"322","cg26907082"
"323","cg04094653"
"324","cg11704005"
"325","cg01965874"
"326","cg10821610"
"327","cg15642772"
"328","cg24692872"
"329","cg16986315"
"330","cg12092708"
"331","cg01972394"
"332","cg20266883"
"333","cg22871801"
"334","cg20809997"
"335","cg24837256"
"336","cg14965477"
