"","x"
"1","cg24373735"
"2","cg18865112"
"3","cg22226438"
"4","cg06091566"
"5","cg09166659"
"6","cg02676653"
"7","cg15742605"
"8","cg11733071"
"9","cg24076968"
"10","cg13468764"
"11","cg21472517"
"12","cg15840462"
"13","cg06819605"
"14","cg10983617"
"15","cg27561293"
"16","cg21607076"
"17","cg12647165"
"18","cg24475622"
"19","cg11144217"
"20","cg06181703"
"21","cg24638131"
"22","cg11750929"
"23","cg16254267"
"24","cg21862126"
"25","cg04311266"
"26","cg16366262"
"27","cg20996124"
"28","cg00656410"
"29","cg19236794"
"30","cg19869091"
"31","cg04296903"
"32","cg16717690"
"33","cg07181952"
"34","cg23931819"
"35","cg16527939"
"36","cg21197375"
"37","cg20236831"
"38","cg06802641"
"39","cg10065209"
"40","cg24399111"
"41","cg20048602"
"42","cg00060374"
"43","cg09668627"
"44","cg20230657"
"45","cg19517490"
"46","cg13893866"
"47","cg27047577"
"48","cg13575252"
"49","cg10705488"
"50","cg11140595"
"51","cg19165249"
"52","cg06943420"
"53","cg21149807"
"54","cg26562592"
"55","cg20255817"
"56","cg10065215"
"57","cg05152432"
"58","cg18509696"
"59","cg06196161"
"60","cg20881128"
"61","cg08169659"
"62","cg17722231"
"63","cg22380385"
"64","cg15546282"
"65","cg15825127"
"66","cg19091116"
"67","cg25384089"
"68","cg18120323"
"69","cg03089488"
"70","cg08732456"
"71","cg08659047"
"72","cg02587648"
"73","cg05753589"
"74","cg00866690"
"75","cg07093776"
"76","cg09579361"
"77","cg27528222"
"78","cg17022540"
"79","cg15564619"
"80","cg26566407"
"81","cg09556700"
"82","cg03532930"
"83","cg22349332"
"84","cg18155888"
"85","cg08662116"
"86","cg15839450"
"87","cg21145284"
"88","cg11333375"
"89","cg21822905"
"90","cg19676238"
"91","cg27411091"
"92","cg11709150"
"93","cg27442054"
"94","cg09828310"
"95","cg06536150"
"96","cg19516647"
"97","cg08716217"
"98","cg01051642"
"99","cg25219318"
"100","cg23634547"
"101","cg15030449"
"102","cg14839809"
"103","cg07972116"
"104","cg21409829"
"105","cg04080530"
"106","cg20141398"
"107","cg00829990"
"108","cg04204526"
"109","cg21467989"
"110","cg25152368"
"111","cg01772149"
"112","cg12394168"
"113","cg13104257"
"114","cg17455155"
"115","cg24300981"
"116","cg22396632"
"117","cg01413848"
"118","cg06748955"
"119","cg25372239"
"120","cg15727188"
"121","cg11710123"
"122","cg00030466"
"123","cg04876124"
"124","cg27229529"
"125","cg10201191"
"126","cg13434489"
"127","cg11250802"
"128","cg03254465"
"129","cg06313241"
"130","cg02328660"
"131","cg12097441"
"132","cg27450668"
"133","cg15925527"
"134","cg04361279"
"135","cg05399785"
"136","cg04865841"
"137","cg18021902"
"138","cg16823083"
"139","cg06939447"
"140","cg26055950"
"141","cg17967071"
"142","cg00505606"
"143","cg06996273"
"144","cg01793449"
"145","cg15472784"
"146","cg26785743"
"147","cg13560072"
"148","cg22016671"
"149","cg11835068"
"150","cg13480658"
"151","cg06966242"
"152","cg19760464"
"153","cg25552937"
"154","cg02275243"
"155","cg19762508"
"156","cg03530437"
"157","cg17750254"
"158","cg01074955"
"159","cg22356839"
"160","cg10224655"
"161","cg18192083"
"162","cg24730892"
"163","cg24152353"
"164","cg05813032"
"165","cg14258756"
"166","cg12135344"
"167","cg27312709"
"168","cg17831269"
"169","cg09526205"
"170","cg27112321"
"171","cg10778407"
"172","cg11699125"
"173","cg11714702"
"174","cg15718222"
"175","cg12406391"
"176","cg23114616"
"177","cg24542908"
"178","cg22792644"
"179","cg20125336"
"180","cg09143576"
"181","cg04497520"
"182","cg07793638"
"183","cg27300967"
"184","cg13898470"
"185","cg21379708"
"186","cg03753670"
"187","cg24326501"
"188","cg06816875"
"189","cg03051946"
"190","cg20434152"
"191","cg16005818"
"192","cg07344096"
"193","cg22127730"
"194","cg09272923"
"195","cg17875988"
"196","cg00425885"
"197","cg04112961"
"198","cg09216375"
"199","cg14038482"
"200","cg11388228"
"201","cg10780495"
"202","cg17952939"
"203","cg06374766"
"204","cg02924110"
"205","cg25017777"
"206","cg02447606"
"207","cg26363759"
"208","cg06773963"
"209","cg20982311"
"210","cg25369015"
"211","cg20318619"
"212","cg25593631"
"213","cg04163216"
"214","cg07499142"
"215","cg00298532"
"216","cg17423089"
"217","cg12657380"
"218","cg04570362"
"219","cg01800926"
"220","cg25491550"
"221","cg17972631"
"222","cg20413202"
"223","cg03301760"
"224","cg19368966"
"225","cg22728639"
"226","cg17075937"
"227","cg10971874"
"228","cg10801633"
"229","cg24502224"
"230","cg16245035"
"231","cg16100063"
"232","cg16057915"
"233","cg15597109"
"234","cg09754110"
"235","cg02486355"
"236","cg22853713"
"237","cg24073777"
"238","cg26522708"
"239","cg04842880"
"240","cg09510180"
"241","cg08006333"
"242","cg18380490"
"243","cg27435026"
"244","cg13686362"
"245","cg18435880"
"246","cg24726995"
"247","cg11539038"
"248","cg21474053"
"249","cg03693760"
"250","cg24597705"
"251","cg11857246"
"252","cg16020346"
"253","cg08269394"
"254","cg00542299"
"255","cg05396397"
"256","cg17641943"
"257","cg20755163"
"258","cg17243540"
"259","cg15059389"
"260","cg07499259"
"261","cg13471521"
"262","cg20931951"
"263","cg02933679"
"264","cg00922376"
"265","cg16680547"
"266","cg21584052"
"267","cg10515414"
"268","cg00970752"
"269","cg24458329"
"270","cg04725029"
"271","cg25154447"
"272","cg18192808"
"273","cg09073052"
"274","cg27187669"
"275","cg25494767"
"276","cg26036626"
"277","cg09826002"
"278","cg15135704"
"279","cg03973866"
"280","cg20703523"
"281","cg15558527"
"282","cg18279134"
"283","cg17944189"
"284","cg25851313"
"285","cg06882340"
"286","cg07715257"
"287","cg15483964"
"288","cg03735492"
"289","cg20387712"
"290","cg27555392"
"291","cg13491192"
"292","cg11637847"
"293","cg01059331"
"294","cg01943843"
"295","cg07798137"
"296","cg27222219"
"297","cg13879177"
"298","cg24539455"
"299","cg21524424"
"300","cg08714895"
"301","cg11663302"
"302","cg17479716"
"303","cg25197238"
"304","cg21291759"
"305","cg08005774"
"306","cg13426876"
"307","cg05052324"
"308","cg17172851"
"309","cg26661034"
"310","cg16405019"
"311","cg15213210"
"312","cg04094653"
"313","cg11704005"
"314","cg10821610"
"315","cg15642772"
"316","cg24692872"
"317","cg12092708"
"318","cg01972394"
"319","cg20266883"
"320","cg22871801"
"321","cg20809997"
"322","cg14965477"
"323","cg06489364"
"324","cg17431922"
"325","cg21370352"
"326","cg25808494"
"327","cg13100118"
"328","cg20752961"
"329","cg13618996"
"330","cg20686963"
"331","cg11719836"
"332","cg06094142"
"333","cg25009258"
"334","cg15653910"
"335","cg20697630"
"336","cg12429444"
