"","x"
"1","cg16619049"
"2","cg01782097"
"3","cg12712429"
"4","cg27050229"
"5","cg03725447"
"6","cg03180780"
"7","cg00145911"
"8","cg10146935"
"9","cg13904806"
"10","cg23440882"
"11","cg15896339"
"12","cg21801539"
"13","cg24045482"
"14","cg17153432"
"15","cg10207527"
"16","cg17368944"
"17","cg26866020"
"18","cg17505193"
"19","cg13802035"
"20","cg04865998"
"21","cg25107893"
"22","cg08843537"
"23","cg22348654"
"24","cg22699004"
"25","cg10201533"
"26","cg11235921"
"27","cg15578015"
"28","cg17907238"
"29","cg15825501"
"30","cg16034521"
"31","cg09364122"
"32","cg01922485"
"33","cg03125763"
"34","cg26155520"
"35","cg23691733"
"36","cg24004483"
"37","cg22367159"
"38","cg26560020"
"39","cg15153791"
"40","cg10046671"
"41","cg18272461"
"42","cg25774148"
"43","cg16657578"
"44","cg02635644"
"45","cg02494066"
"46","cg10720997"
"47","cg08709360"
"48","cg27222785"
"49","cg09864227"
"50","cg22044028"
"51","cg15576492"
"52","cg11200797"
"53","cg18024260"
"54","cg19856606"
"55","cg09358422"
"56","cg24523322"
"57","cg16060740"
"58","cg10782633"
"59","cg05007472"
"60","cg14981312"
"61","cg27053169"
"62","cg08881995"
"63","cg15030799"
"64","cg10126324"
"65","cg19626656"
"66","cg27582017"
"67","cg08899471"
"68","cg20619296"
"69","cg18329352"
"70","cg25973293"
"71","cg23622235"
"72","cg18272703"
"73","cg06615380"
"74","cg12097325"
"75","cg19708306"
"76","cg03228985"
"77","cg05929553"
"78","cg14288281"
"79","cg07213830"
"80","cg21778193"
"81","cg18792131"
"82","cg21475076"
"83","cg23651812"
"84","cg18348086"
"85","cg18770446"
"86","cg08844387"
"87","cg07841371"
"88","cg24884961"
"89","cg03340606"
"90","cg06910084"
"91","cg05952202"
"92","cg19237691"
"93","cg06097659"
"94","cg19092396"
"95","cg16266669"
"96","cg02296931"
"97","cg15993652"
"98","cg01341040"
"99","cg12219387"
"100","cg09276842"
"101","cg07548512"
"102","cg23082845"
"103","cg20300707"
"104","cg23963070"
"105","cg14394203"
"106","cg19666520"
"107","cg08643618"
"108","cg24701867"
"109","cg17469240"
"110","cg19081571"
"111","cg02859098"
"112","cg16045223"
"113","cg02581421"
"114","cg07812848"
"115","cg24576260"
"116","cg20674014"
"117","cg15683497"
"118","cg03003335"
"119","cg14529643"
"120","cg00086266"
"121","cg27642349"
"122","cg26214604"
"123","cg00903892"
"124","cg08663263"
"125","cg06038049"
"126","cg22125623"
"127","cg19834486"
"128","cg07346648"
"129","cg08160862"
"130","cg26351554"
"131","cg16575694"
"132","cg06646682"
"133","cg22376366"
"134","cg03465880"
"135","cg15386434"
"136","cg00970622"
"137","cg13393580"
"138","cg15492552"
"139","cg19871494"
"140","cg15604233"
"141","cg05364533"
"142","cg22961467"
"143","cg15130241"
"144","cg14795268"
"145","cg11431291"
"146","cg26509139"
"147","cg08387662"
"148","cg00305774"
"149","cg09368716"
"150","cg26863172"
"151","cg04897188"
"152","cg27391934"
"153","cg00599812"
"154","cg01521567"
"155","cg13388025"
"156","cg10228629"
"157","cg12723840"
"158","cg06377929"
"159","cg10240778"
"160","cg22225258"
"161","cg06128920"
"162","cg21124756"
"163","cg14651254"
"164","cg26536460"
"165","cg17590292"
"166","cg23590525"
"167","cg07835437"
"168","cg03041030"
"169","cg06205922"
"170","cg12632610"
"171","cg00813378"
"172","cg08738570"
"173","cg16601494"
"174","cg15487867"
"175","cg18430990"
"176","cg26602477"
"177","cg08464374"
"178","cg03392564"
"179","cg00355315"
"180","cg22373622"
"181","cg09073059"
"182","cg16277776"
"183","cg18368516"
"184","cg12062537"
